"Deutsch";"English";"dansk";"Nederlands";"scientific"
"Expertenwissen, das (-s; -)";"expertise (knowledge)";"ekspertise; fagkundskab";"expertise, de (pl.: expertises of expertisen)";
"extensiv (hier: extensive Nutzung)";"extensive (here: extensive use)";"ekstensiv (her: ekstensivt landbrug)";"extensief (hier: extensieve landbouw)";
"Fabrik, die (-; -en); Werk, das (-[e]s; -e); Anlage, die (-; -n)";"plant, factory";"fabrik (-ken; -ker); værk (-et; -er)";"fabriek, de; installatie, de (pl.: installaties)";
"Faden-Binse f";"thread rush";"tråd-siv";"draadrus";"Juncus filiformis"
"Fadenbüschelalge f, Rotalge Röhrentang m";"sessile red algae “Polysiphonia spec.“";"ledtang";"buizenwier n";"Polysiphonia spec."
"Fahrrinne, die (-; -n)";"waterway, channel";"sejlrende (-n; -r)";"vaargeul, de";
"Fallstudie, die (-; -n)";"case study";"casestudie (-t; -r)";"casestudie, de (pl.: casestudies of casestudiën)";
"Faltblatt, das (-[e]s; Faltblätter); Broschüre, die (-; -n)";"leaflet, brochure";"folder (-en; -e)";"foldertje, het; pamflet, het (pl.: pafletten); flyer, het";
"Fangquote, die (-; -n) (hier: Fischfang-)";"fishing quota";"fangstkvote (-en; -er) (her: fiskefangst-)";"visquota, de (hier: visvangst-)";
"Färberginster m";"dyer’s greenweed";"farve-visse";"verfbrem";"Genista tinctoria"
"Feder, die (-; -n)";"feather";"fjer (-en; -)";"veer, de (pl.: veren) ; pluim, de";
"Federtang m";"hen pen";"grønfjer";"vederwier n";"Bryopsis plumosa"
"Feld-Beifuß m";"field wormwood";"mark-bynke";"averuit";"Artemisia campestris"
"Feldklee m";"hop trefoil";"gul kløver";"liggende klaver";"Trifolium campestre"
"Feldlerche f";"skylark";"sanglærke";"veldleeuwerik";"Alauda arvensis"
"Felsengarnele, Steingarnele f";"rockpool prawn; glass prawn";"tangreje; strandreje";"gewone steurgarnaal";"Palaemon elegans"
"Feste Trogmuschel f";"thick trough shell";"tykskallet trugmusling";"stevige strandschelp";"Spisula solida"
"festgewachsen";"sessile";"fastgroet; fastsiddende";"vast gegroeid";
"Festland, das (-[e]s; no pl.)";"mainland";"fastland (-et; -)";"vasteland, het";
"Fettablagerung, die (-; -en)";"fat deposition";"fedtaflejring (-en; -er)";"vetafzetting, de";
"Feuchtgebiet, das (-[e]s; -e)";"wetland";"vådområde (-t; -r)";"vochtgebied, het";
"Fieberklee m";"bogbean";"bukkeblad";"waterdrieblad n";"Menyanthes trifoliata"
"filtrieren (v.)";"filter (v.)";"filtrere (v.)";"Filtreren (ww.)";
"Finanzierung, die (-; -en)";"financing; funding";"finansiering (-en; -er)";"financiering, de";
"Findling, der (-s; -e)";"erratic block";"vandreblok (-ken; -ke)";"zwerfkei, de; zwerfblok, het";
"Fingertang m";"oar weed (kelp)";"fingertang";"vingerwier n";"Laminaria digitata"
"Finte f";"twaite shad";"stavsild";"fint";"Alosa fallax"
"Fisch, der (-es; -e)";"fish";"fisk (-en; -)";"vis, de (pl.: vissen)";
"Fischbestand, der (-[e]s; Fischbestände)";"fish stock";"fiskebestand (-en; -e)";"visstand, de";
"Fischbrut, die (-; pl.); Fischlaich, der (-[e]s; -e); Rogen, der (-s; -)";"fry; fish spawn";"fiskeyngel (-en; no pl.); rogn (-en; no pl.)";"viskuit, de; viseitje, het (pl.: viseitjes)";
"fischen (v.)";"fish (v.)";"fiske (v.)";"vissen (ww.)";
"Fischer, der (-s; -)";"fisherman, fisher";"fisker (-en; -e)";"visser, de (pl.: vissers)";
"Fischerboot, das (-[e]s; -e); Fischkutter, der (-s; -)";"fishing boat; fishing cutter";"fiskebåd (-en; -e); fiskekutter (-en; -e)";"vissersboot, de (pl.: vissersboten); kotter, de (pl.: kotters)";
"Fischerei, die (-; -en)";"fishery";"fiskeri (-et; -er)";"Visserij, de";
"Fischnetz, das (-es; -e)";"fishing net";"fiskenet (-tet; -)";"visnet, het";
"Flache Seerinde f";"lacy crust bryozoan; coffin bryozoan";"membranmosdyr n";"fijne vliescelpoliep";"Membranipora membranacea"
"Flacher Schuppenwurm m";"twelvescaled worm";"skælryggen";"geschubde zeerups";"Lepidonotus squamatus"
"Flaches Quellried n";"flat-rush";"fladtrykt kogleaks";"platte bies";"Blysmus compressus"
"Flachmeer, das (-[e]s; -e)";"shallow sea; shallow waters";"fladvande (-t; no pl.)";"ondiepe zee, de";
"Flammender Hahnenfuß m";"lesser spearwort";"kær-ranunkel, nedbøjet ranunkel";"egelboterbloem";"Ranunculus flammula"
"Flatterbinse f";"soft-rush";"lysesiv";"pitrus";"Juncus effusus"
"Fleischfarbiges Knabenkraut n";"early marsh-orchid";"kødfarvet gøgeurt";"vleeskleurige orchis";"Dactylorhiza incarnata"
"Fleischfresser, der (-s; -)";"carnivore";"kødæder (-en; -e)";"vleeseter, de (pl.: vleeseters)";
"fleischig";"fleshy";"kødfuld";"vlezig; doorregen (i.v.m. spek)";
"Fliehkraft, die (-; Fliehkräfte)";"centrifugal force";"centrifugalkraft (-en; centrifugalkræfter)";"middelpuntvliedende kracht, de";
"Flugdecksand, der (-[e]s; -e)";"cover(ing) layer of wind-borne sand";"flyvesandaflejring (-en; -er)";"dekzand, het; stuifzand, het";
"Flügelfeder, die (-; -n)";"wing feather";"vingefjer (-en; -)";"vleugelveer, de (pl.: vleugelveren)";
"Flügelsamige Schuppenmiere f";"greater sea spurrey";"vingefrøet hindeknæ";"gerande schijnspurrie";"Spergularia maritima/ Spergularia media"
"flügge";"fledged; fully fledged";"flyvefærdig; flyveklar";"in staat om te vliegen; vliegensvlug";
"flügge werden (v.)";"fledge (v.)";"blive flyvefærdig (v.)";"vliegvlug worden (ww.)";
"Flunder f";"flounder";"flynder; skrubbe";"bot";"Platichthys flesus"
"Flußmündung, die (-; -en)";"embouchure";"munding (-en; -er); flodmunding (-en; -er)";"riviermonding, de";
"Flussseeschwalbe f";"common tern";"fjordterne";"visdief";"Sterna hirundo"
"Flussuferläufer m";"common sandpiper";"mudderklire";"oeverloper";"Actitis hypoleucos"
"Flut, die (-; -en)";"flood";"flod (-en; -er)";"vloed, de";
"fluten; überfluten (v.)";"flood (v.)";"flyde; overstrømme (v.)";"overstromen (ww.)";
"Flutende Schuppensimse f";"floating club-rush";"flydende kogleaks";"vlottende bies";"Isolepis fluitans"
"fördern; finanzieren (v.)";"fund (v.)";"støtte (v.)";"begunstigen; financieren (ww.)";
"Forschung, die (-; -en)";"research";"forskning (-en; -er)";"research, de; onderzoek, het";
"Fortschritt, der (-[e]s; -e); Entwicklung, die (-; -en)";"progress";"fremskridt (-et; -)";"vooruitgang, de";
"Fossile Teppichmuschel f";"fossile carpet shell";"Venerupis senescens";"grijze tapijtschelp";"Venerupis senescens"
"Fragebogen, der (-s; Fragebögen)";"questionnaire";"spørgeskema (-et; -er)";"vragenlijst, de ; werkblad, het";
"freiwillig";"voluntary";"frivillig";"vrijwillig";
"Freizeit, die (-; -en)";"leisure; free time";"fritid (-en; -)";"vrije tijd, de";
"Freizeitbeschäftigung, die (-; -en)";"leisure activity";"fritidsbeskæftelse (-n;-r)";"vrijetijdsbesteding, de";
"Fremdenführer, der (-s; -); Reiseleiter, der (-s; -)";"tour guide";"guide (-n; -r); turistguide (-n; -r)";"gids de; reisgids, de";
"Friese, der (-n; -n); Friesin, die (-; -nen)";"Frisian";"Friser (-en; -e o. -)";"Fries, de (pl.: Friezen)";
"friesisch";"Frisian";"frisisk";"Fries";
"Frosch-Binse f";"frog rush";"klægsiv";"zilte greppelrus";"Juncus ranarius (ambiguus)"
"Froschdorsch m";"tadpole fish";"sortvels";"vorskwab";"Raniceps raninus"
"fruchtbar";"fertile";"frugtbar";"vruchtbaar";
"Frühe Haferschmiele f";"early hairgrass";"tidlig dværgbunke";"vroege haver";"Aira praecox"
"Frühlings-Greiskraut n";"eastern groundsel";"vår-brandbæger";"oostelijk / voorjaars kruiskruid n";"Senecio vernalis"
"Frühlings-Spergel m";"pearlwort spurrey";"vår-spergel";"heidespurrie";"Spergula morisonii"
"Fuchsrotes Quellried n";"saltmarsh flat-sedge";"rødbrun kogleaks";"rode bies";"Blysmus rufus"
"Fünfbärtlige Seequappe f";"5-bearded rockling";"havkvabbe";"5-dradige meun";"Ciliata mustela"
"Fünfblütige Sumpfsimse f";"fewflowered spike-rush";"fåblomstret kogleaks";"armbloedige waterbies";"Eleocharis quinqueflora"
"Fünfmänniges Hornkraut, Sand-Hornkraut n";"little mouse-ear; fivestamen chickweed";"femhannet hønsetarm";"zandhoornbloem";"Cerastium semidecandrum"
"Futtermauer, die (-; -n); Verkleidung, die (-; -en)";"revetment; revetement";"forskalling (-en; -er); støttemur (-en; -e)";"bekleding, de; beschot, het";
"Gabeltang m";"brown alga “Dictyota dichotoma“";"gaffeltang";"gaffelwier n";"Dictyota dichotoma"
"Gallert-Moostierchen n";"marine bryozoan “Alcyonidium gelatinosum“";"Alcyonidium gelatinosum";"doorschijnende zeevinger";"Alcyonidium gelatinosum"
"Gänse-Fingerkraut n";"silverweed";"gåse-potentil";"zilverschoon n";"Potentilla anserina"
"Gebänderte Grübchenschnecke f";"banded chink shell";"båndtegnet grubesnegl";"scheefhorentje n";"Lacuna divaricata"
"Geburtenrate, die (-; -n)";"birthrate";"fødselstal (-let; -)";"geboortecijfer, het (pl.: geboortecijfers)";
"Gedrungene Trogmuschel f";"cut trough shell";"hvælvet trugmusling";"halfgeknotte strandschelp";"Spisula subtruncata"
"gefährdet; anfällig für";"vulnerable";"sårbar; ikke modstandsdygtig";"bedreigde; kwetsbaar";
"Gefährdung, die (-; -en)";"danger, threat";"trussel (trus(se)len; trusler)";"dreiging, de";
"Gefieder, das (-s; -); Federkleid, das (-[e] s; -er)";"plumage";"fjerdragt (-en; -er)";"verenkleed, het; veren (pl.)";
"Gefleckter Blattwurm m";"paddleworm";"Anaitides maculata; Phyllodoce maculata";"gestippelde dieseltreinworm";"Anaitides (Phyllodoce) maculata"
"Geflecktes Knabenkraut n";"early purple orchid";"plettet gøgeurt";"gevlekte orchis";"Dactylorhiza maculata"
"geführte Tour, die (-; -en)";"guided tour";"omvisning (-en; -er)";"excursie, de (pl.: excursies)";
"Gekerbte Seepocke, Kerbseepocke f";"acorn barnacle;";"kølet rur";"gekartelde zeepok";"Balanus crenatus"
"Gelappte Melde f";"frosted orach";"sølv-mælde";"gelobde melde";"Atriplex laciniata"
"Gelbe Haarqualle f";"lion´s mane jellyfish";"rød brandmand";"rode haarkwal";"Cyanea capillata"
"Gelbe Läppchenflechte f";"yellow crustose lichen";"lys-væggelav";"kroezig dooiermos n";"Xanthoria candelaria"
"Gelber Hornmohn m";"yellow hornedpoppy";"hornskulpe";"gele hoornpapaver";"Glaucium flavum"
"Gelbflechte, Gewöhnliche f";"maritime sunburst lichen";"almindelig væggelav";"geel dooiermos, groot dooiermos n";"Xanthoria parietina"
"Gelbflügel Salzläufer m";"ground beetle “Pogonus luridipennis“";"gulvinget marskløber";"Pogonus luridipennis";"Pogonus luridipennis"
"Geldbuße, die (-; -n)";"fine; fee";"pengebøde (-n; -r)";"geldboete, de (geldboetes of geldboeten)";
"Gelege, das (-s; -)";"clutch (here: of eggs)";"kuld (-et; -) (her: af æg)";"legsel, het";
"Gelegenheit, die (-; -en); Anlass, der (-es; Anlässe)";"occasion";"lejlighed (-en; -er)";"gelegenheid, de (pl.: gelegenheden)";
"Gemeine Quecke f";"common couch";"almindelig kvik";"kweek";"Agropyron repens"
"Gemeine Seepocke f";"acorn barnacle";"lavvandsrur";"gewone zeepok";"Semibalanus balanoides"
"Gemeine Strandschnecke f";"common periwinkle";"almindelig strandsnegl";"gewone alikruik";"Littorina littorea"
"Gemeine Sumpfsimse f";"common spike-rush";"almindelig sumpstrå";"gewone waterbies";"Eleocharis palustris"
"Gemeiner Beifuß m";"mugwort";"grå-bynke";"bijvoet";"Artemisia vulgaris"
"Gemeines Ferkelkraut n";"catsear";"almindelig kongepen";"gewoon biggekruid n";"Hypochoeris radicata"
"Gemeines Hornkraut n";"common mouse-ear";"almindelig hønsetarm";"hoornbloem";"Cerastium holosteoides ssp. vulgare"
"Gemeines Kreuzblümchen n";"common milkwort";"almindelig mælkeurt";"gewone vleugeltjesbloem";"Polygala vulgaris"
"Genehmigung, die (-; -en)";"license";"tilladelse (-n; -r)";"vergunning, de";
"Gerippte Tellmuschel f";"tellin";"stribet tallerkenmusling";"rechtsgestreepte platschelp";"Angulus fabula, Tellina fabula"
"Geschiebemergel, der (-s; -)";"boulder clay";"moræneler (-et; -er)";"keileem, het";
"Geschwindigkeits-begrenzung, die (-; -en)";"speed limit";"hastighedsbegrænsning (-en; -er)";"snelheidsbeperking, de";
"Gesetz, das (-es; -e); Recht, das (-[e]s; -e)";"law";"lov (-en; -e)";"wet, de (pl.: wetten)";
"Gesetzesnovelle, die (-; -n)";"amendment";"lovændring (-en; -er); lovrevision (-en; -er)";"wijzigingsvoorstel, het; aanvullingswet, de";
"Gestein, das (-[e]s; -e)";"rock";"bjergart (-en; -er)";"gesteente, het (pl.: gesteenten of gesteentes)";
"Gestielte Spießmelde f";"long-stalked orache";"stilk-mælde";"spiesmelde";"Atriplex longipes"
"Gestreifte Venusmuschel f";"striped venus shell";"almindelig venusmusling";"venusschelp";"Venus striatula"
"Gestreifter Leierfisch m";"common dragonet";"stribet fløjfisk";"pitvis";"Callionymus lyra"
"Gestutzte Klaffmuschel f";"blunt gaper";"afstumpet sandmusling";"afgeknotte gaper";"Mya truncata"
"Getupfte Teppichmuschel f";"pullet carpet shell";"tæppemusling";"tapijtschelp";"Venerupis pullastra"
"Gewölbte Kopfschildschnecke f";"arctic barrel-bubble";"baggællesnegle “Retusa obtusa“";"oubliehoren";"Retusa obtusa"
"Gezeiten, die (pl.)";"tides (pl.)";"tidevand (pl.)";"getijden (pl.)";
"Gezeitenlandschaft, die (-; -en)";"tidal landscape";"tidevandslandskab (-et; -er)";"getijdenlandschap, het (pl.: getijden-landschappen)";
"Gezeitenstrom, der (-[e]s; Gezeitenströme)";"tidal current";"tidevandsstrøm (-men; -me)";"getijdenstroom, de (pl.: getijdenstromen)";
"Gift-Hahnenfuß m";"celery-leaved buttercup";"tigger-ranunkel";"blaartrekkende boterbloem";"Ranunculus sceleratus"
"giftig";"toxic";"giftig";"giftig";
"Glänzende Nabelschnecke f";"alder´s necklace shell";"højspiret boresnegl";"glanzende tepelhoren";"Lunatia alderi"
"Glashaar - Haarmützenmoos, Bürstenmoos, Glashaartragendes Widertonmoos n";"awned hair-cap moss";"hårspidset jomfruhår";"ruig haarmos n";"Polytrichum piliferum"
"Glattbutt m";"brill";"slethvarre";"griet";"Scophthalmus rhombus"
"Gletscher, der (-s; -)";"glacier";"bræ (-en; -er); gletsjer (-en; -e)";"gletsjer, de (pl.: gletsjers)";
"Glieder-Binse f";"jointed rush";"glanskapslet siv";"zomprus";"Juncus articulatus"
"Glockenheide f";"bog heather; crossleaved heath";"klokkelyng";"dopheide";"Erica tertralix"
"Goldregenpfeifer m";"Eurasian golden plover";"hjejle";"goudplevier";"Pluvialis apricaria"
"Graben, der (-s; Gräben)";"ditch";"grøft (-en; -er); grav (-en; -e)";"gracht, de ; sloot de (pl.: sloten)";
"grasen (v.)";"graze (v.)";"græsse (v.)";"grazen (ww.)";
"Grasnelke, Sand-Grasnelke f";"sea pink; thrift";"engelskgræs";"engels gras n";"Armeria maritima ssp. elongata"
"Gras-Sternmiere f";"lesser stitchwort";"græsbladet fladstjerne";"grasmuur";"Stellaria graminea"
"Gräte, die (-; -n)";"fishbone";"fiskeben (-et; -)";"graat, de (pl.: graten)";
"Graudüne, die (-; -n) (= eine Art sekundäre Düne)";"grey dune (= a type of secondary dune)";"grå klit (-ten; -ter) (= en type sekundær klit)";"oude duin, de; grijze duin, de (= een soort secundair duin)";
"Graue (Rändel-) Käferschnecke f";"grey chiton";"almindelig skallus";"asgrauwe keverslak";"Lepidochitona cinerea"
"Graue Zackenmütze f";"narrow leaved fringe-moss; roadside rock moss; hoary fringe-moss";"sand-gråmos";"grijze bisschopsmuts";"Racomitrium canescens"
"Grauer Knurrhahn m";"grey gurnard";"grå knurrhane";"grauwe poon";"Eutrigla gurnardus"
"Graugans f";"greylag goose";"grågås";"grauwe gans";"Anser anser"
"Graureiher m";"grey heron";"fiskehejre";"blauwe reiger";"Ardea cinerea"
"Grauweide f";"common sallow";"grå-pil";"grauwe wilg";"Salix cinerea"
"Gravitationskraft, die (-; Gravitationskräfte)";"gravitational pull";"tyngdekraftens sug (-et; -)";"zwaartekracht, de";
"grenzübergreifend";"cross-border";"grænseoverskridende";"grensoverschrijdend";
"Große Fadenschnecke f";"anemone slug";"stor trådsnegl";"vlokkige naaktslak";"Aeolidia papillosa"
"Große Händelwurz m";"flagrant orchid";"langsakset trådspore";"grote muggenorchis";"Gymnadenia conopsea"
"Große Miesmuschel f";"horse mussel";"hestemusling";"paardemossel";"Modiola modiolus"
"Große Nabelschnecke f";"moon snail";"stor boresnegl";"tepelhoren";"Lunatia catenea"
"Große Schlangennadel f";"snake pipefish";"snippe";"adderzeenaald";"Entelurus aequoreus"
"Große Seepocke f";"common barnacle";"rur „Balanus balanus“";"zeepok";"Balanus balanus"
"Großer Brachvogel m";"Eurasian curlew";"stor regnspove";"wulp";"Numenius arquata"
"Großer Klappertopf m";"greater yellow-rattle";"stor skjaller";"grote ratelaar";"Rhinanthus angustifolius (serotinus)"
"Großer Scheibenbauch m";"common seasnail";"ringbug";"slakdolf";"Liparis liparis"
"größer werden; zunehmen (v.)";"increase";"blive større eller mere; vokse (v.)";"toenemen; groter worden (ww.)";
"Großes Seegras n";"common eelgrass; common grass-wrack";"almindelig bændeltang";"groot zeegras n";"Zostera marina"
"Großfrüchtige Moosbeere f";"cranberry";"storfrugtet tranebær";"cranberry";"Vaccinium macrocarpon"
"gründen (v.)";"found sth. (v.)";"grundlægge(v.)";"stichten (ww.)";
"Grüner Seeringelwurm, Grüner Meerringelwurm m";"king rag";"grøn nereis, havbørsteorm “Nereis virens“";"groene zager";"Nereis virens"
"Grünland Polder, der (-s; -)";"grassland polders";"græsjord polder (-en;e)";"grasland polder, de";
"Grünschenkel m";"common greenshank";"hvidklire";"groenpootruiter";"Tringa nebularia"
"Habitat, das (-s; -e)";"living space";"bosætningssted (-et;-er); habitat (-et; -er); levested (-et; - er)";"woonplaats, de";
"Hafenanlage, die (-; -n)";"harbour facility";"havneanlæg (-get; -)";"haveninstallatie, de";
"Hallig, die (-; -en)";"holm";"vadehavsø (-en; -er)";"waddeneiland, het (bedijkt)";
"Halligflieder m";"sea lavender; marsh rosemary";"tætblomstret hindebæger";"lamsoor n";"Limonium vulgare"
"Hamen, der (-s; -) (= Trichter-Fischnetz)";"stow net; swing net";"f hamme (-n; -r)";"staande kuil, de; ankerkuil, de";
"Handkäfer m";"ground beetle";"tunnelløber";"loopkever";"Dyschirius"
"Hasenbrot n";"field woodrush; sweep’s brush";"mark-frytle";"gewone veldbies";"Luzula campestris"
"Hasenklee m";"hare’s-foot clover";"hare-kløver";"hazenpootje n";"Trifolium arvense"
"Heide-Labkraut n";"heath bedstraw";"lyng-snerre";"liggende walstro n";"Galium harcynicum"
"Heidelbeere f";"bilberry";"blåbær";"blauwe bosbes";"Vaccinium myrtillus"
"Heidenelke f";"maiden pink";"bakke-nellike";"steenanjer";"Dianthus deltoides"
"Heller Schlangenstern m";"brittlestar “Ophiura albida“";"lille sandslangstjerne";"kleine slangster; lichte slangster";"Ophiura albida"
"Herbstlöwenzahn m";"fall dandelion; autumn hawkbit";"høst-borst";"vertakte leeuwentand";"Leontodon autumnalis"
"Hering m";"herring";"sild";"haring";"Clupea harengus"
"Heringsmöwe f";"lesser black-backed gull";"sildemåge";"kleine mantelmeeuw";"Larus fuscus"
"Herzseeigel m";"sea potato";"almindelig sømus";"hartegel; zeeklit";"Echinocardium cordatum"
"Hirse-Segge f";"carnation sedge";"hirse-star";"blauwe zegge";"Carex panicea"
"Hochsee, die (-; no pl.) (hier: auf hoher o. offener See)";"offshore zone";"åbent hav (-et; -e) (her: på åbent hav)";"open zee, de (pl.: zeeën) (hier: op open zee)";
"Hochwasser, das (-s; -)";"high tide";"højvand (-et; -e)";"hoogwater, het";
"Hochwassermarke, die (-; -n)";"high water mark";"højvandslinie (-n; -r)";"vloedmerk, het";
"Hohe Rauke f";"tall rocket";"ungarsk vejsennep";"hongaarse raket";"Sisymbrium altissimum"
"Holozän, das (-s; no pl.)";"holocene";"Holocæn (-et; no pl.)";"holoceen, het";
"Hopfenklee m";"black medick";"humle-sneglebælg";"hopklaver";"Medicago lupulina"
"Hornhecht m";"garfish";"hornfisk";"geep";"Belone belone"
"Hornklee, Gemeiner m";"birdsfoot trefoil";"almindelig kællingetand";"gewone rolklaver";"Lotus corniculatus"
"Horntang m";"banded weed";"klotang";"rood hoorntjeswier n";"Ceramium rubrum"
"Hornzahnmoos n";"fire moss; purple horn-toothed moss";"rød horntand";"purpersteeltje n";"Ceratodon purpureus"
"Hummer m";"lobster";"almindelig hummer";"zeekreeft";"Homarus vulgaris"
"Hundsrose f";"dog rose";"hunderose";"hondsroos";"Rosa canina"
"Hundsveilchen n";"heath dog violet";"hunde-viol";"hondsviooltje n";"Viola canina"
"Hünengrab, das (-[e]s; Hünengräber)";"barrow; giant’s grave";"gravhøj (-en; -e)";"hunebed, het";
"Hungerblümchen n";"common whitlowgrass";"vår-gæslingblomst";"vroegeling";"Erophila verna"
"Hydroidpolypen m";"sea firs";"Hydrozoa";"hydroiedpoliepen";"Hydrozoa"
"Igelschlauch m";"lesser water-plantain";"almindelig søpryd";"stijve moerasweegbree";"Baldellia ranunculoides"
"Immunsystem, das (-s; -e)";"immune system";"immunstystem (-et; -er)";"imuunsysteem, het (pl.: imuunsystemen)";
"Indikatorart, die (-; -en); Zeigerart, die (-; -en)";"indicator species";"indikatorart (-en; -er)";"indicatorsoort, de";
"Indisches Springkraut n";"Himalayan (Indian) balsam; policeman´s helmet";"kæmpe-balsamin";"reuzenbalsemien";"Impatiens glandulifera"
"Individuum, das (-s; Individuen)";"individual";"individ (-et; -er)";"exemplaar, het (pl.: exemplaren)";
"Industrie, die (-; -n)";"industry";"industri (-en; -er)";"industrie, de (pl.: industrieën";
"Informationstafel, die (-; -n)";"information board";"informationstavle (-n;-r)";"informatiepaneel, het (pl.: informatiepanelen)";
"Informationszentrum, das (-s; Informations-zentren)";"information centre";"informationscenter (informationscent(e)ret; informationscentre)";"informatiecentrum, het (pl.: informatiecentrums of informatiecentra)";
"Inlandeis, das (-es; no pl.)";"inland ice; ice sheet";"inlandis (-en; -)";"landijs, het";
"Insel, die (-; -n)";"island";"ø (-en; -er)";"eiland, het";
"Inselkette, die (-; -n)";"chain of islands; island chain";"økæde (-n; -r)";"eilandenrij, de";
"Instrument, das (-[e]s; -e) (hier: gesetzliches o. rechtliches Instrument)";"instrument (here: legal instrument)";"instrumentarium (-et; er) (her: retslig instrumentarium)";"instrument, het (hier: wettelijk instrument)";
"intensive (hier: intensive Nutzung)";"intensive (here: intensive use)";"intensiv (her: intensivt landburg)";"intensief (hier: intensieve landbouw)";
"interdisziplinär";"interdisciplinary";"interdisciplinær";"interdisciplinair";
"Interessenkonflikt, der (-[e]s; -e)";"conflict of interests";"interessekonflikt (-en;-er)";"belangenconflict, het";
"interglazial";"interglacial";"interglacial";"Interglaciaal, het";
"Interpretation, die (-; -en); Auslegung, die (-; -en)";"interpretation";"interpretation (-en; -er); (for)tolkning (-en; -er)";"interpretatie, de (pl.: interpretaties)";
"Islandmuschel f";"Islandic cyprine";"molboøsters";"noordkromp";"Arctica islandica"
"jagen (v.)";"hunt (v.)";"jage (v.)";"jagen (ww.)";
"jährlich; alljährlich";"annual";"årlig; års-; hvert år";"Jaarlijks";
"Jakobs-Kreuzkraut n";"common ragwort";"eng-brandbæger";"jacobskruiskruid n";"Senecio jacobaea"
"Japanischer Beerentang m";"Jap weed";"blutbæret sargassotang";"japans bessenwier n";"Sargassum muticum"
"Käferschnecke f";"grey chiton";"variabel skallus";"keverslak";"Lepidochiton cinereus"
"Käferschnecken f";"Chitons";"Skallus";"Keverslakken";"Polyplacophorax"
"Kahle Melde f";"Babington’s orache";"tykbladet mælde";"kustmelde";"Atriplex glabriuscula"
"Kaisergranat m";"Norway lobster";"jomfruhummer";"noorse kreeft";"Nephrops norvegicus"
"Kali-Salzkraut n";"prickly saltwort";"sodaurt";"loogkruid n";"Salsola kali"
"Kalk, der (-[e]s; no pl.) (nur bei Kalksorten, pl.: -e)";"lime";"kalk (-en; no pl.)";"kalk, de";
"Kammgras n";"crested dog’s-tail";"almindelig kamgræs";"kamgras n";"Cynosurus cristatus"
"Kammstern m";"sand star";"kamstjerne";"kamster";"Astropecten irregularis"
"Kampfläufer m";"ruff";"brushane";"kemphaan";"Philomachus pugnax"
"Karthäusernelke f";"German pink";"karteuser-nellike";"karthuizer anjer";"Dianthus carthusianorum"
"kartieren (v.)";"map (v.)";"kortlægge (v.)";"karteren (ww.)";
"Kartierung, die (-; -en)";"mapping";"kortlægning (-en; -er)";"kartering, de";
"Kartoffelrose f";"Japanese rose";"rynket rose";"rimpelroos";"Rosa rugosa"
"Katastrophe, die (-; -n)";"disaster; catastrophe";"ulykke (-n; -r); katastrofe (-n; -r)";"catastrofe, de";
"Katzenhai m";"spotted dogfish";"rødhaj";"hondshaai";"Scyliorhinus canicula"
"Katzenpfötchen n";"mountain everlasting";"almindelig kattefod";"rozenkransje n";"Antennaria dioica"
"Kaurischnecke f";"European cowry; spotted cowry";"Trivia monacha";"gevlekt koffieboontje n";"Trivia monacha"
"Kegelrobbe f";"grey seal";"gråsæl";"grijze zeehond";"Halichoerus grypus"
"Keulen-Bärlapp m";"tag’s-horn clubmoss";"almindelig ulvefod";"grote wolfsklauw";"Lycopodium clavatum"
"Kiebitz m";"Northern lapwing";"vibe";"kievit";"Vanellus vanellus"
"Kiebitzregenpfeifer m";"grey plover";"strandhjejle";"zilverplevier";"Pluvialis squatarola"
"Kieme, die (-; -n)";"gill";"gælle (n; -r)";"kieuw, de";
"Kiemenringelwurm m";"lugworm “Scoloplos armiger“";"børsteorm “Scoloplos armiger“";"wapenworm";"Scoloplos armiger"
"Kies, der (-es; no pl.) (nur bei Kiesarten, pl.: –e)";"gravel";"grus (-et; no pl.)";"grind, het";
"Kinderstube, die (-; n)";"nursery";"børnehave (-n; -r)";"kinderkamer, de";
"Klebrigs Greiskraut n";"sticky groundsel";"klæbrig brandbæger";"kleverig kruiskruid n";"Senecio viscosus"
"Kleinblütige Nachtkerze f";"smallflowered evening primrose; northern evening primrose";"småblomstret natlys";"kleine teunisbloem";"Oenothera parviflora (muri)"
"Kleine Braunelle f";"common selfheal";"almindelig brunelle";"gewone brunel";"Prunella vulgaris"
"Kleine Gitterschnecke f";"needle whelk";"lille tårnsnegl";"muizekeutel";"Bittium reticulatum"
"Kleine Kammmuschel f";"queen scallop";"jomfruøsters; almidelig kammusling";"wijde mantel; kammossel";"Aequipecten opercularis"
"Kleine Seenadel f";"lesser pipefish";"lille tangnål";"kleine zeenaald";"Syngnathus rostellatus"
"Kleine Wiesenraute f";"lesser meadow-rue";"sand-frøstjerne";"kleine ruit";"Thalictrum minus"
"Kleiner Ampfer m";"common sorrel";"almindelig syre";"veldzuring";"Rumex acetosa"
"Kleiner Klappertopf m";"yellow-rattle";"liden skjaller";"kleine ratelaar";"Rhinanthus minor"
"Kleiner Rotbarsch m";"lesser redfish";"lille rødfisk";"kleine roodbaars";"Sebastes viviparus"
"Kleiner Storchschnabel m";"smallflowered crane’s-bill";"liden storkenæb";"kleine ooievaarsbek";"Geranium pusillum"
